paragraphs,reference_summary
"Kawruhana, para Kurawa ! sajrone para senapati mau isih urip, nadyan dewaning balêdhèg ora bisa angrêbut wajibing Pandhawa andarbèki saparoning nagara. Pandhawa bêcik-bêcik lan rukun, ambêbayani upama ora dibagèi saparoning nagara kang wus dadi wajibe. Yèn sira kêpengin adil, utawa sira gêlêm anglakoni murih padha rahayu, sira kudu anglilakake saparoning praja marang Pandhawa. Drona sumambung suraosipun sami kemawon kalihan pangandikanipun Bisma, punapadene Widura, ananging Karna kêkah botên miturut, wêkasan Prabu Dritarastra dhawuh dhatêng Widura supados  mêthuk para putranipun Kunthi.;",Prabu Dritarastra dhawuh Widura ngrêmbag urusan Pandhawa lan Kurawa.
"Kados punapa bingahipun tiyang Ngastina sarêng Pandhawa dhatêng, tiyang sanagari sami bingah-bingah, sarta Prabu Dritarastra lajêng maringakên sapalihing nagari dhatêng para Pandhawa, kadhawahan ngadhaton ing Kandhawaprastha. Ucaping tiyang kathah Kandhawaprastha punika sakalangkung wingit, ewadene botên watawis lami Pandhawa sampun amangun kitha wontên pêpèrènganing wukir mituruti pitêdahipun Wiyasa, kithanipun sakalangkung asri, kadi kadhatonipun Sang Hyang Indra, mila lajêng winastan Indraprastha.;","Pandhawa nampi kadhawahan, mbangun Indraprastha miturut pitêdah Wiyasa."
"Ing satunggaling dintên, Maharsi Naradha angrawuhi para Pandhawa, dhawuh pêpèngêt, supados rêrukunanipun sampun ngantos risak, amargi saking pawèstri satunggal karabi tiyang gangsal, panjênênganipun andhawuhakên pranatanipun, sabên Dèwi Krêsna nuju wontên salah satunggal, manawi wontên sanèsipun ingkang ngrêsahi, kêdah kasingkirakên dhatêng wana, laminipun kalihwêlas taun, kacariyos satunggaling dintên, wontên durjana ingkang andhustha rajakayanipun satunggaling brahmana, mila lajêng ngaturi uninga dhatêng Pandhawa, nyuwun adil, Arjuna mirêng tuwin sagah badhe angadili, ananging sadaya dêdamêlipun wontên ing gêdhong ingkang sawêg kangge lalênggahan kalihan Dèwi Krêsna.;","Maharsi Naradha dhawuh Pandhawa rukun, Arjuna ngadili brahmana, kaputusake Dèwi Krêsna."
" Kadospundi lampahipun Arjuna, manawi botên amitulungi dhatêng brahmana wau, tiyang badhe anênacad dhatêng panjênêngan ratu, amargi narendra botên karsa angukum dhatêng tiyang dosa, ingkang makatên winastan dosa. Dene manawi Arjuna lumêbêt ing kamar, piyambakipun kêdah nglampahi kakendhangakên, osikipun: nanging luwih bêcik aku dêdunung lan mati anèng ngalas, kabêcikan luwih luhur tinimbang badan, sanadyan badan rusak, kabêcikan ora bisa ilang. Mila Arjuna lumêbêt ing kamar, matur dhatêng ingkang raka manawi badhe mêndhêt dêdamêl, sasampunipun inggal anututi durjana, kacêpêng rajakayanipun kawangsulakên dhatêng ingkang gadhah malih. Arjuna wangsul dhatêng kadhaton, marêki raka nyuwun pamit badhe lumêbêt ing wana, supados têtêp kados prasêtyanipun. Yudhisthira sakalangkung prihatos, pangandikanipun: lah pêpêthinganing para senapati, ingsun wêruh apa mulane dene sira kongsi lumêbu ing kamaringsun, prêlu arêp ambirat kang sira anggêp arêp andadèkake dosaningsun, pangrasaningsun sira ora ala, wurungna karêpira nêdya angalas, pituhunên pitutur ingsun, kabêcikanira ora karêgêdan, sira ora pisan-pisan dosa marang ingsun, nanging Arjuna matur: kula mirêng piyambak, panduka dhawuh tiyang kêdah angatos-atos manawi anglampahi kawajiban, kula botên sagêd sumimpang saking margining kasêtyan, inggih kasêtyan ingkang minăngka kasêktèn kula.;","Arjuna tetep adil, nuturake prasêtyan dhatêng Dèwi Krêsna, Yudhisthira ngelingake kasêtyan."
"Angluhurakên dhatêng kasêtyan punika titikaning băngsa Arya ingkang gampil dipun sumêrêpi, sarta katingal cêtha wontên ing sêrat punika. Bêkti dhatêng katêmênan, suminggah saking paracidra, punika kula nyumêrêpi dêdunung wontên sawiyah tiyang jalêr èstri ing sawarnining golongan miwah darajad, satunggaling băngsa Arya têmtu botên purun kumêcap cidra, amargi cidra kaanggêp adamêl kalingsêmaning lêluhuripun.;","Kasêtyan minangka titikan luhur băngsa Arya, ora nglanggar dhawuhe."
"Sang Arjuna ingkang kalis ing dosa lajêng pangkat dhatêng pambucalan, nalika Arjuna adus, sarta anglampahi wajibing panêmbah, lajêng kacêpêng dening Ulupi, widadarining toya, putrinipun ratuning naga. Tumuntên kagèrèt dhatêng lèpèn dununging kadhatonipun, dados Arjuna badhar anggènipun mêmuja, lajêng mriksa latu murup ing salêbêting kadhaton, ewadene kalihan raos têntrêm anggèning nglajêngakên pujanipun, sasampuning paripurna lajêng andangu dhatêng pawèstri wau, punapa darunanipun têka anyaruwe anggènipun mêmuja. Widadari mangsuli: bilih onêng dhatêng sulintyaning warninipun, Arjuna mituruti, manggèn  wontên ing ngriku ngantos enjingipun malih. ;","Arjuna nglindhungi Ulupi, tenang ngaturake panyuwunan."
"Sawêdalipun saking toya, Arjuna anglajêngakên lampahipun, andon angêlangut, sarta kampir ing panggenan-panggenan pasucian, kalunta-lunta ngantos dumugi ing prajanipun Sri Krêsna. Sang prabu amapagakên, lajêng kairid dhatêng Dwaraka, ing ngriku Arjuna priksa dhatêng Sumbadra kadangipun Sri Krêsna, ingkang sakalangkung endah ing warni, sangêt kayungyun dhatêng Sumbadra, dhawuhipun Sri Krêsna, lampahing para satriya, kêdah sarana kadhustha. Arjuna lajêng ngaturi sêrat dhatêng kang raka, sarêng sampun kaparêngakên, Arjuna ngêntosi wanci ingkang prayogi, sarêng kamanah sampun wancinipun, Sumbadra kadhustha, Sumbadra anjêrit mila para pangagênging băngsa Yadawa punapadene băngsa Wrêsni sami dhatêng atêtulung, sangêt nêpsu nêdya nyêpêng dhatêng Arjuna, ananging Sri Krêsna lajêng angarih-arih dhatêng ingkang sami ambujêng, sarta dhawuh supados kakinthila kemawon, tuwin sami amêmitrana malih, amargi ing pundi sagêd manggih priya ingkang pantês dados guru lakinipun Sumbadra angungkuli Arjuna. ;","Arjuna ketemu Sumbadra, anjuran Sri Krêsna supaya ngasta Sumbadra."
" Para ulu-uluning băngsa wau sami miturut dhatêng pêpèngêtipun Sri Krêsna, mila Arjuna ngantos sawatawis dangu wontên ing Dwaraka. Sarêng sampun dumugi wêwangên anggènipun kakendhangakên, Arjuna mantuk dhatêng Indraprastha kairing  dening Kesawa miwah Prabu Balarama. Para pêpêthinganing băngsa Yadawa sarta Wrêsni, sami ambêkta rajabrana agêng tuwin pitik iwèn rajakaya, minăngka bêktaning pikramanipun Sumbadra. Sarêng sampun dumugi ing Indraprastha Sumbadra pêputra, sinung nama Abimanyu. Sri Krêsna sangêt sihipun, yuswanipun botên panjang, ananging kaèbêkan suwur, amargi Abimanyu punika panjanmanipun Warcas, putranipun Bathara Soma, ingkang sampun marêngakên kang putra nilar kaswargan nanging amung salêbêtipun nêmbêlas warsa, parlu ambangun prang wontên ing Kurusetra. Pangandikanipun Bathara Soma: saka paprangan ing Têgal Sukci gon ingsun mêruhi baline putraningsun. ;","Arjuna mulih kanthi Sumbadra, nglaksanani pitadosan."
"Ing satunggaling dintên Arjuna kalihan Kesawa sami ambêbêdhak dhatêng ing wana, dipun panggihi dening Bathara Agni, nanging amindha brahmana, wigatosipun brahmana wau nyuwun pitulungan supados wana Kandhawa ingkang kaayoman dening Sang Hyang Indra punika kabêsmia. Brahmana mratelakakên manawi piyambakipun tampi dhawuhipun Hyang Brahma supados nyuwun pitulung dhatêng Sang Nara miwah Narayana, ingkang sarêng wontên ing dunya asêsilih Arjuna tuwin Sri Krêsna, mila samangke manggihi sakalihanipun parlu nyuwun pitulung. Wangsulanipun Arjuna,  sariranipun botên kagungan langkap ingkang kenging kangge mituruti sapamintaning brahmana, punapadene kathahing jêmparingipun botên anyêkapi, sarta pratela manawi kêdah gadhah rata paprangan ingkang pangiridipun bantêr, tuwin dêdamêl linangkung kangge tumrap Sri Krêsna.;",Arjuna lan Kesawa ngewangi ngilangaké wana Kandhawa.
"Sami sanalika Bathara Agni angèsthi Bathara Waruna, dewaning toya, lajêng ngatingal, Bathara Agni nyuwun dhatêng Bathara Waruna supados amaringana langkap ingkang sinêbut gandhewa sarta jêmparing ingkang botên sagêd têlas, rata paprangan agêmipun Prabu Soma, punapadene daludag ingkang aciri wanara dhatêng Arjuna, dene Krêsna kaparingana sanjata cakra ingkang sakalangkung misuwur, Waruna mituruti sapamintanipun. Bathara Agni lajêng anêmpuh wana Kandhawa, nanging Bathara Indra tumuntên anurunakên jawah. Arjuna enggal anglêpasakên jêmparing angèbêki ing ngawang-ngawang, ngantos rapêt kadidene songsong. Salêbêtipun gangsalwêlas dintên wana Kandhawa sampun kabêsmi, botên wontên wit-witan tuwin têtuwuhan ingkang kantun, ewadene amung wontên titah gêsang nênêm ingkang katut kabêsmi. Wontên satunggaling Asyura nama Maya, ingkang nêdha pangayomanipun Arjuna.;","Bathara Agni ngilangaké wana Kandhawa, Indra ngaturaké hadiah dhatêng Arjuna."
" Saparipurnaning karya, Hyang Indra ngatingal, sakalangkung rêna nguningani  dhatêng kaprigêlan saha kakêndêlaning putranipun, lajêng matêdhakakên nugraha dhatêng Arjuna tuwin Kesawa. Arjuna matur ing Hyang Indra: yèn sira wus tinampan dening mahadewa, hèh sutaning Pandhu, ingsun banjur maringake kabèh gêgamaningsun, Sri Krêsna nyuwun, supados pamitranipun kalihan Arjuna sagêd lastantun salami-laminipun. ;","Arjuna lan Kesawa diparingi nugraha, Sri Krêsna ngingêtake lestantun."
"Jêngandika saèstunipun taksih sami kèngêtan, bilih nalikanipun wana Kandhawa kabêsmi, wontên satunggaling danawa nama Maya ingkang mèh katut kabêsmi. Amargi saking gênging panuwunipun dhatêng Arjuna, dene dipun pitulungi, danawa wau nêdya amalês kasaenanipun Arjuna. Ananging Arjuna botên karsa anampèni, wangsulanipun Arjuna botên adamêl sêriking manahipun danawa wau, sarta kados sacaraning kaprabon. Wêkdal Maya dhêlêg-dhêlêg mirêng wangsulanipun Arjuna, lajêng dipun dhawuhi supados Maya angaturana tandhaning panuwunipun dhatêng Sri Krêsna. Maya matur bilih kêpengin misungsung dhatêng panjênênganipun, Kesawa kèndêl sakêdhap, wêkasan ngandika, prayoginipun Maya ngaturana para undhagi, badhe kadhawuhan ngiyasakakên kadhatonipun Yudhisthira. Maya matur sandika, lajêng dhatêng kitha Indraprastha angukur pasitèn, ingkang badhe kaadêgan  kadhaton.;","Maya nyuwun pitulungan dhatêng Arjuna, tetep ngurmati Sri Krêsna."
"Wêkdal samantên Sri Krêsna kundur dhatêng prajanipun. Suwawi sami angraosakên sakêdhap bêktinipun Sri Krêsna dhatêng para sêpuh. Panjênênganipun wau têtela dewa angejawantah, ewadene nalika pamitan dhatêng Arjuna, mawi mitungkas, supados Arjuna ngaturakên sêmbahipun dhatêng Dèwi Kunthi tuwin para brahmana, sarta taklimipun dhatêng Yudhisthira sarta Bima, amargi kalihipun punika langkung sêpuh tinimbang sariranipun . Wontên ing dêdongengan sanèsipun, kula manggih cêcriyosan, awit saking karsanipun piyambak, Sri Krêsna kêparêng amijiki sampeyanipun para brahmana. . Sri Krêsna botên pisan-pisan kêparêng angungasakên manawi suksmanipun sanyata luhur, asarana botên angraosakên dhatêng pangaji-aji. Kosok-wangsulipun, Sri Krêsna têtêp ing kawajiban angaosi dhatêng sintêna ingkang kuwadhaganipun langkung sêpuh saking sariranipun, karsanipun ingkang makatên dadosa tuladaning akathah.;","Sri Krêsna pamitan, ngurmati Dèwi Kunthi lan brahmana."
"Maya matur dhatêng Pandhawa, bilih piyambakipun mêntas adamêl sêsaji kalihan para danawa wontên ing talaga Windu, angsal sêsotya sakalangkung kathah, punapadene manggih gada satunggal  wontên ing talaga wau, gêgadhuhanipun ratuning danawa, sarta thothokipun Hyang Baruna, nama Dewadata. Pangangkahipun gada kaaturakên dhatêng Bima, thothok dhatêng Arjuna, sêsotya nawarêtna kangge waragad anggènipun badhe angêdêgakên kadhaton ing Indraprastha. Mila temboking kadhaton kadamêl saking jêne, makatên ugi gapuranipun, sami kaukir sêsêkaran sakalangkung alus, ing prênahing sêkar tuwin wohipun sami kadèkèkan sêsotya miwah jumêrut, katingal pating pancurat anyandhik ayu. Sêla-sêlaning patamanan kadèkèkan balumbang ingkang tinêpi ing marmêr, tinrètès ing mutyara, sarta kadekekan undhak-undhakan kristal, ing têngahing balumbang katanêman tunjung măncawarna, kaingahan maliwis sarta pêksi toya sanès-sanèsipun. Salêbêtipun kawanwêlas căndra, kadhaton ingkang tanpa timbang adinipun wau sampun paripurna, Pandhawa lajêng adamêl rajasuya  para narendra măncapraja sami kaaturan, bab kapisan punika kacariyos wontên ing parwa puni .;","Maya paring hadiah sêsotya, Indraprastha kamulyan rajasuya."
"Maharêsi Naradha rawuh, ing nalika para Pandhawa priksa sang maharêsi tumêdhak, enggal sami amapagakên. Anggènipun  angurmati sarana tataning kasusilan ingkang kacariyos ing ngriki, inggih punika para Pandhawa sumungkêm ing siti, lajêng tata lênggah. Ing ngriku Rêsi Naradha andangu dhatêng sêsêpuhing Pandhawa sêmu karênan, wigatos badhe anguningani punapa Prabu Yudhisthira sampun anêtêpi wajib ingkang dados jêjibahanipun. Miturut piwulang Hindhu, ratu punika jumênêngipun, ingkang anêtêpakên para dewa. Kuwajibaning nata sakalangkung awrat, sarta kêdah ananggêl sêsanggêmanipun, tumrap pakaryan ingkang botên wontên sampunipun, inggih punika angêgungakên bakti. Bilih ratunipun sae, sadaya ingkang tumrap dhatêng praja miwah têtiyanganipun saèstu prayogi. Têmbe ugi badhe mirêng pangandikanipun Sang Bisma, prakawis kawajibaning narendra. Ing ngriki Maharsi Naradha andangu prakawis punika dhatêng Yudhisthira, punapa Yudhisthira anggènipun anglampahi kawajiban dhatêng agami sampun tinêtêpan, lêrêmipun sampun samêsthining wancinipun, punapa Yudhisthira anggènipun amilih nayaka sampun pratitis, sarta ajêg pamblanjanipun dhatêng wadyabala. Punapa Yudhisthira sampun angayomi lare-lare ingkang tinilar pêjah tiyang sêpuhipun, amargi nglabêti nagari, punapadene dhatêng randhanipun, sarta punapa sampun paring pangayoman dhatêng mêngsahipun ingkang sampun nungkul.;",Maharsi Naradha dhawuh Yudhisthira nglakoni kawajiban raja.
" Punapa Yudhisthira marêngakên tiyang sami marêk, dados sabên tiyang botên ajrih pinanggih, kados anak pinanggih tiyang sêpuhipun. Punapa wêdaling waragad sawawrat, sapêrtigan, utawi sapalihing pamêdal. Punapa kabêtahanipun para among tani sampun kacêkap, punapa anggènipun angwontênakên wadhuk toya tuwin talaga sampun anyêkapi kathahipun, dados among tani botên kapêksa angêntosi toya jawah. Punapa tiyang padhusunan sampun botên kêkirangan wiji miwah têdha. Punapa Yudhisthira sampun anyambuti winih, sarta aniti manami amongtani sarta ingkang sami nangkarakên rajakaya kêdah kawarah ngantos dados amongtani saha juru nangkarakên ingkang pratitis. Tuwin punapa Yudhisthira botên nate anêrak adil, ingkang amargi saking pamêksaning watak cêthil, piawon tuwin kumaluhur. Punapa wontên pamiwahaning para narapraja ingkang sarana rêruba. Punapa Yudhisthira sampun anitipriksa bilih anggènipun angindhakakên paos punika sampun adil yêktos, punapa anggènipun paring epahan utawi băndha dhatêng para undhagi punika botên langkah saking  wulan. Punapa Yudhisthira sampun angayomi  prajanipun saking saliring bêbaya, punapadene ratu kawajiban dados bapakipun tiyang wuta, tiyang lempoh, tiyang bisu, tiyang lola, tuwin para ngulandara. Punapa Yudhisthira sampun anyingkiri dosa nêm prakawis, inggih punika: doyan tilêm, nganggur , jêrih, butêng, ngêsèt, tuwin tanpa kêkêncêngan.;",Yudhisthira nglaksanani kawajiban raja kanthi adil.
"Satêlasing pangandikanipun Maharsi Naradha, Yudhisthira lajêng manguswa padanipun risang maharêsi, sarta sanggêm badhe anêtêpi sawarnining kawajiban ingkang kapangandikakakên wau. Ing ngriku Hyang Naradha andhawuhakên prakawis pakêmpalan ing dhatulaya kaswargan.;",Maharsi Naradha maringi pituduh dhatêng Yudhisthira.
"Awit saking cariyosipun Maharsi Naradha wau, lajêng kasumêrapan manawi amung ratu satunggal sinêbut Prabu Aricandra, ingkang sagêd dêdunung ing karatonipun Sang Hyang Indra, mila Yudhisthira lajêng matur kapengin priksa lêlabêtanipun Prabu Aricandra saha kawontênanipun kang rama. Dhawuh wangsulanipun Rêsi Naradha: amargi Sri Aricandra sampun adamêl sêsaji Rajasuya, dados tampi ganjaran sagêd dêdunung ing kaswarganipun Sang Hyang Indra, mila Pandhu amêmuji mugi anakipun, Sang Yudhisthira unggula ing jagad sarta adamêla sêsaji Rajasuya, dados  Sang Hyang Indra sudarmanipun, lajêng anugrahani dhatêng putranipun, puwara sagêd anggayuh padunungan minulya kados Sri Aricandra.;",Naradha ngandhakake Yudhisthira ngupaya ganjaran kaswargan.
"Pitungkasipun Pandhu kadhawuhakên dhatêng Yudhisthira dening Maharsi Naradha. Ananging Maharsi Naradha angèngêtakên awratipun ingkang sami angwontênakên Rajasuya. Sampurnaning sêsaji Rajasuya punika amung manawi ingkang angwontênakên wau nata binathara, măngka para ratu ing dunya punika kalampahanipun anungkul, amung dhatêng nata ingkang kawawa lampah adil, Yudhisthira lajêng aniti sariranipun piyambak, utawi têtarosan dhatêng ingkang sami sayogi tinaros, punapa sariranipun sagêd adamêl sêsaji Rajasuya. Kawontênaning prajanipun, punika sampun dados panitikan manawi adilipun Yudhisthira pantês jumênêng narendra. Yudhisthira salami- laminipun sangêt sih dhatêng kawulanipun, pakartinipun amung kangge kamulyaning tiyang sanagari, botên bau kapine. Panyêbutipun tiyang sanagari dhatêng panjênênganipun: Arjatasatru, pikajêngipun: botên gadhah mêngsah. Pamêngkunipun dhatêng sadhengah kadi dhatêng kadang warga, punapadene para ari tansah rumêksa tuwin ambiyantu.;","Yudhisthira siap njupuk sêsaji Rajasuya, butuh uji coba kasetyan."
" Para Pandhawa sangêt suka sukur ing dewa, dene prajanipun kalis dening saliring bêbaya. Anggènipun anjagi sawarnining golonganipun tiyang sanagari katiti sayêktos, kathah jawah, mila botên kêkirangan toya, nagari gêmah aripah ... sampun têtela sadangunipun Yudhisthira ngasta pusaraning kaprabon, botên wontên tiyang ngapusi, botên sumêlang bilih sakit, kabêsmèn, utawi pêjah saking racun tuwin tuju têluh sapanunggilanipun, pramila para nayaka sami rumojong dhatêng ratunipun ingkang sadu budi wau, anggènipun karsa adamêl sêsaji. Ananging panjênênganipun taksih tansah manglimbang ing batos, botên adaya-daya, lajêng kaèngêtan bilih para wicaksana botên nate kacidran, amargi sabên badhe anindaki saliring pandamêl, salami-laminipun sampun karaosakên rumiyin. Wasana sampun têtêp karsanipun, mila lajêng ngaturakên nawala dhatêng Sri Krêsna, suraos atêtarosan, amargi priksa manawi botên wontên ingkang sayogi tinarosan kajawi Sri Krêsna. Kacariyos Sri Krêsna lajêng rawuh, kaaturan manawi badhe adamêl sêsaji Rajasuya. ;",Pandhawa seneng amarga praja lestari tanpa gangguan.
"Ing ngriku Sri Krêsna pratela manawi wontên pambênganipun agêng, pangandikanipun Krêsna: Yudhisthira sampun pantês angwontênakên Rajasuya, ananging kalampahanipun punika bilih para raja sampun angratu dhatêng Yudhisthira, ing măngka wontên satunggaling narendra asma Prabu Jarasanda, sakalangkung kawasa, saèstu botên purun nungkul. Prabu Jarasanda gadhah pangangkah badhe damêl sêsaji tiyang satus sami narendra sadaya. Sampun wontên ratu wolungdasa nêm ingkang tinawan lajêng kawarăngka, dados jangkêpipun satus amung kirang kawanwêlas. Pangandikanipun Sri Krêsna: amila sintêna ingkang sagêd angalang-alangi piawonipun Jarasanda, suwuripun tamtu kawursita wontên ing manahipun tiyang sajagad, Sri Krêsna mrayogèkakên lajêng sami anglurugi Prabu Jarasanda.;","Sri Krêsna ngajak Yudhisthira nglaksanani Rajasuya, ngadhepi tantangan Prabu Jarasanda."
"Sasampunipun wiraosan, pinanggihipun anggèning anglurugi Prabu Jarasanda kêdah botên ambêkta wadyabala, amargi wadyanipun Jarasanda sakalangkung agêng. Langkung prayogi Bima kalihan Arjuna kairit dening Sri Krêsna piyambak. Sri Krêsna mratelakakên karosanipun Bima tuwin kasêktènipun Arjuna. Ananging Yudhisthira botên anayogyani, margi angèngêti agênging bêbaya ingkang badhe sami dipun panggih, Sri Krêsna matur: manawi paduka anguningani manah kula, paduka pitados dhatêng kula, minăngka tandhaning pitados paduka wau maringna Bima tuwin Arjuna kalayan sampun maras ing panggalih.;","Prabu Jarasanda botên kersa angèngèni wadyabala, Bima lan Arjuna ngandharake kasêktèn."
"Yudhisthira matur sarwi ngrarêpa, manawi tamtu miturut dhatêng Krêsna, aturipun: Arjuna tuwin Bima ingkang badhe andhèrèkakên paduka, ratuning băngsa Yadawa. Têtela kasaenan, rajabrana tuwin kakiyatan ingkang adamêl kasêmbadaning sêdya. Katiganipun sami anamur panganggenipun sanataka brahmana, lajêng pangkat dhatêng Magada, kithanipun Prabu Jarasanda. Ananging bedanipun kalihan lampah-lampahing brahmana, sarêng sampun cêlak kalihan kitha Manggada, katiganipun wau lajêng angrisak rêdi sela pêpundhènipun tiyang sanagari. Lumêbêt ing kitha mêdal kontên bêbutulan, sadumigining kitha lajêng angrêbat uncèn-uncèn sêkar sarta pangangge lajêng sami dipun agêm. Sadumugining dhatulaya, katiganipun kawuningan ing Sang Prabu Jarasanda, enggal amapagakên kadi satataning katamuan brahmana. Ananging sang mindha brahmana botên karsa nampèni bêktinipun Jarasanda, Kesawa pratela, sang prabu kaparênga nampèni sasampunipun têngah dalu. Sarêng sampun dumugining măngsa ingkang sampun katamtokakên sang prabu manggihi, lajêng pitakèn, punapa darunanipun dene sang brahmana sami beda kalihan kalimrahanipun. ;","Yudhisthira ngendika miturut Krêsna, Arjuna lan Bima andhèrèkakên Krêsna."
"Snataka brahmana botên nate angrarêngga sarira kalihan uncèn-uncèn sêkar, sarta botên akêkonyoh gănda wida, tuwin angrêrisak, lêbêtipun ing kitha mawi găragodha. Sri Krêsna mangsuli: manawi para satriya sarta para wisiya, tamtu priksa yêktos dhatêng sêsanggêmanipun para snataka brahmana, katampi kados brahmana, dene sêkar punika atêgês kamulyan. Lêbêtipun dhatêng padununganing mêngsahipun, mêdal ing kontên bêbutulan, tuwin anggènipun lumêbêt ing griyaning mêngsahipun badhe nglaksanani punapa ingkang dipun êmbani. Mila kula sadaya botên purun nampèni pahargyan. Prabu Jarasanda sakalangkung ngungun, lajêng pitakèn: punapa sababipun têka sami nêmaha anyênyamah ing sariranipun. Wangsulanipun Sri Krêsna, amargi sariranipun priksa dhatêng sêdyanipun Prabu Jarasanda, anggènipun badhe sêsaji manungsa dhatêng Rudra. Dados dhatêngipun wau nêdya amambêngi pandamêl awon. Sri Krêsna mrasajakakên asmanipun tuwin namaning kanthinipun, wasana manantang: hèh Narendra Manggada, ingsun takon marang sira, apa prang apa sira angluwari para narendra kang padha sira warăngka nêdya sira angkatake marang kaprabone Hyang Yama.; ","Snataka brahmana botên nate angrarêngga sarira, Sri Krêsna nentang Narendra Manggada."
"Sang Prabu Jarasanda, nêdya lumawan, amung prajanji manawi kasoran putranipun kagêntosna, sarta ingkang kapilih dados tandhingipun: Bima. Kawanwêlas dintên anggènipun prang tandhing, wêkasan Bima priksa manawi mêngsahipun sampun loyo, mila lajêng cinêpêng kaobat- abitakên lajêng kakêplèkakên ing pupu. Sapêjahipun Jarasanda, Krêsna angluwari para narendra saking pawarangkan, nitih ratanipun Prabu Jarasanda kalihan Bima tuwin Arjuna. Para ratu ingkang sami dipun luwari punapadene putranipun Prabu Jarasanda, sami nungkul dhatêng Prabu Yudhisthira. Salajêngipun Sri Krêsna kalihan ari kêkalih kondur kalayan suka amarwata suta.; ","Prabu Jarasanda nêdya lumawan, Bima dipilih tandhing, Sri Krêsna ngluwari para narendra."
"Para Pandhawa sakawan lajêng sami angirit wadyabala pangkat angêlar jajahan, Arjuna mêngalèr, Bima mangidul, Nangkula mangilèn, dene Sadewa mangetan. Ing pundi-pundi lajêng sami nungkul dhatêng Yudhisthira. Samangke Pandhawa sampun wiyar jajahanipun, sadaya ingkang linampahan dening para ari, punika tumrap kadangipun sêpuh. Sadaya ingkang sampun katêlukakên sami kaaturakên, sadaya jarahanipun ugi kaaturakên kang raka, mila Prabu Yudhisthira lajêng sagêd angwontênakên sêsaji Rajasuya.; ","Pandhawa angirit wadyabala, Yudhisthira ngaturakên Rajasuya."
"Manawi tiyang maos Sêrat Mahabarata sabên-sabên tamtu lajêng èngêt dhatêng kasugihanipun praja Hindhu ing jaman kina, inggih punika nalika kawruh agami taksih kamanah parlu piyambak, dene prakawis kadunyan kadamêl ăngka kalih. Sarêng pamanahipun dhatêng prakawis kasuksman kêndho, Hindhu lajêng lêsu, ngantos dados boyonganipun ingkang angawonakên, wusana rajabrananipun kasumêrêpan, sarta lajêng sumêbar. Kita asring priksa griya tembok agêng tur sakalangkung sae, pinasangan candhela pintên-pintên ingkang inêbipun karêngga-rêngga ing kancana, kamar nglêbêt tinêpi ing motyara, undhak-undhakanipun katutup ing babut prangwêdani.  Ing antawisipun rajabrana agêng ingkang dipun kalêmpakakên dening Prabu Yudhisthira, botên amung sêsotya nawarêtna ingkang sakalangkung kathah kemawon, ananging ugi pintên-pintên têkên tuwin gada jêne, sabên ingkang cêpênganipun saking gadhing tinrètès ing intên jumêrut, punapadene wadhahing dêdamêl, rata paprangan, sakalangkung adi. Singêp ingkang saking rambut, pangangge ingkang saking pita tuwin sutra, prangwadani ingkang panjang sarta endah, pasarean sae-sae, ingkang dipun karodhong dening tênunan kasulam ing renda, sutra, găndawida tuwin kajêng candhana. Tuwin malih maèwu-èwu dipăngga, kapal, kuldi, tuwin kemar  samêkta dalasan kêkapa sarta palananipun.;",Mahabharata nyariyosakên kasugihan Hindhu jaman kina.
" Ing pundi-pundi tiyang priksa wêwarnèn ingkang anêngsêmakên sarta adi-adi. Botên wontên sanèsipun  ingkang langkung cêtha anggènipun anêdahakên luhuring kagunan saha kawruhipun tiyang Hindhu kina, kasugihanipun ingkang tanpa petangan, sarta gêmah ripahipun, kajawi cariyos pamiwahan agêng ingkang kasêbut ing Sêrat Mahabarata tuwin Ramayana. Tuwin malih ing ngriku ugi nyariyosakên tata raharja sarta gêmah ripahing nagari. Dipun cariyosakên pintên-pintên griya agêng panggènaning andhasarakên pintên-pintên sawarnining dêdagangan, suyasanipun para luhur ingkang rinêngga-rêngga sakalangkung asri. Nugrahaning Pangeran ingkang kapatêdhakakên inggih punika agami, bêkti, têtêping wajib, tuwin kasaenan, gunggunganipun sawarnining kasaenan pinanggih wontên ing ngriku, punapadene sagunging băndha.;","Tiang nyariyosakên tata raharja, agami, bêkti, têtêping wajib."
"Para nata saking nagari pundi-pundi sami tumut angèstrèni sêsaji agêng wau, Nangkula kautus ngunjuki uninga ing Prabu Drêtarastra tuwin Sang Bisma dhatêng Praja Ngastina. Widura, Drona, tuwin para putranipun Prabu Drêtarastra, akanthi Karna miwah Krêpa, tuwin senapati sanès-sanèsipun, ingkang sami kacariyos ing dongèng punika ugi sami mrêtamu. Yudhisthira ngaturakên sakathahing rajabrana agêng wau dhatêng Sang Bisma tuwin Bagawan Drona, sarta para pinisêpuh, kanthi panyuwun mugi sami kaparênga  paring pitêdah ingkang kêdah dipun lampahi.;","Para nata angèstrèni sêsaji, Yudhisthira ngaturakên rajabrana dhatêng Bisma lan Drona."
